2015-10-12 12:44:16,166 [Worker-212] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-12 12:45:01,364 [Worker-212] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-12 12:45:01,367 [Worker-212] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-12 12:45:01,370 [Worker-212] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-12 12:45:01,370 [Worker-212] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-12 12:45:09,284 [Worker-207] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-12 12:45:09,285 [Worker-207] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-12 12:45:09,287 [Worker-207] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-12 12:45:09,288 [Worker-207] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-12 12:45:17,924 [Worker-208] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-12 12:45:17,925 [Worker-208] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-12 12:45:17,926 [Worker-208] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-12 12:45:17,926 [Worker-208] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-12 22:23:58,336 [Worker-416] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-12 22:23:58,339 [Worker-416] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-12 22:23:58,340 [Worker-416] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-12 22:23:58,341 [Worker-416] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-12 22:24:15,408 [Worker-416] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-12 22:24:15,410 [Worker-416] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-12 22:24:15,412 [Worker-416] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-12 22:24:15,414 [Worker-416] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
